COMLOG_ID,SUBJ_MATTER_OBJET,OTHER_SUBJ_MATTER_AUTRE_OBJET,,,,,,,
164097,Environment,Environment,,,,,,,
164098,Industry,Industry,,,,,,,
164099,Science and Technology,Science and Technology,,,,,,,
164304,Other,Innovation,,,,,,,
165027,Science and Technology,Science and Technology,,,,,,,
165036,Science and Technology,Science and Technology,,,,,,,
165666,Other,Market & Economic Issues,,,,,,,
165726,International Trade,International Trade,,,,,,,
166039,Other,Canada' climate change policy,,,,,,,
166040,Other,Candian Proposal on Buy American negotiations with the United States,,,,,,,
166042,Other,Canadian proposal on Buy American negotiations with the US,,,,,,,
166116,Agriculture,Agriculture,,,,,,,
166117,International Trade,International Trade,,,,,,,
166119,Agriculture,Agriculture,,,,,,,
166125,International Trade,International Trade,,,,,,,
166264,Transportation,Transportation,,,,,,,
167037,Transportation,Transportation,,,,,,,
167705,Economic Development,Economic Development,,,,,,,
167731,Security,Security,,,,,,,
167768,Broadcasting,Broadcasting,,,,,,,
167775,Transportation,Transportation,,,,,,,
167779,Economic Development,Economic Development,,,,,,,
167787,Security,Security,,,,,,,
167788,Environment,Environment,,,,,,,
167789,Other,international Education,,,,,,,
167790,Arts and Culture,Arts and Culture,,,,,,,
167792,Financial Institutions,Financial Institutions,,,,,,,
167793,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
167948,Health,Health,,,,,,,
167950,Other,Centre of Excellence,,,,,,,
168008,Other,Introductory Meeting,,,,,,,
168065,International Development,Développement international,,,,,,,
168067,Health,Health,,,,,,,
168068,Industry,Industry,,,,,,,
168070,International Relations,International Relations,,,,,,,
168079,Mining,Mining,,,,,,,
168080,International Relations,International Relations,,,,,,,
168083,International Trade,International Trade,,,,,,,
168087,Taxation and Finance,Taxation and Finance,,,,,,,
168088,International Relations,International Relations,,,,,,,
168089,International Trade,International Trade,,,,,,,
168090,Taxation and Finance,Taxation and Finance,,,,,,,
168094,Industry,Industry,,,,,,,
168095,Intellectual Property,Intellectual Property,,,,,,,
168100,Intellectual Property,Intellectual Property,,,,,,,
168109,Environment,Environment,,,,,,,
168111,Transportation,Transportation,,,,,,,
168113,Consumer Issues,Consumer Issues,,,,,,,
168144,Industry,Industry,,,,,,,
168151,Tourism,Tourism,,,,,,,
168153,Arts and Culture,Arts et culture,,,,,,,
168155,Environment,Environment,,,,,,,
168161,Transportation,Transportation,,,,,,,
168162,Consumer Issues,Consumer Issues,,,,,,,
168164,Industry,Industry,,,,,,,
168328,Tourism,Tourism,,,,,,,
168330,Arts and Culture,Arts et culture,,,,,,,
168332,Environment,Environment,,,,,,,
168335,Transportation,Transportation,,,,,,,
168336,Consumer Issues,Consumer Issues,,,,,,,
168340,Industry,Industry,,,,,,,
168342,Tourism,Tourism,,,,,,,
168343,Other,General Business Update,,,,,,,
168344,Environment,Environment,,,,,,,
168345,Transportation,Transportation,,,,,,,
168347,Consumer Issues,Consumer Issues,,,,,,,
168348,Industry,Industry,,,,,,,
168371,Regional Development,Regional Development,,,,,,,
168377,Tourism,Tourism,,,,,,,
168387,Arts and Culture,Arts et culture,,,,,,,
168389,Consumer Issues,Consumer Issues,,,,,,,
168390,Financial Institutions,Financial Institutions,,,,,,,
168393,Government Procurement,Government Procurement,,,,,,,
168394,Taxation and Finance,Taxation and Finance,,,,,,,
168428,Agriculture,Agriculture,,,,,,,
168454,Health,Health,,,,,,,
157198,Other,National ICT Strategy,,,,,,,
157201,Agriculture,Agriculture,,,,,,,
157202,Intellectual Property,Intellectual Property,,,,,,,
157203,Broadcasting,Broadcasting,,,,,,,
157206,Health,Health,,,,,,,
157209,Intellectual Property,Intellectual Property,,,,,,,
157211,Health,Health,,,,,,,
157218,Intellectual Property,Intellectual Property,,,,,,,
157220,International Trade,International Trade,,,,,,,
157221,Science and Technology,Science and Technology,,,,,,,
157222,Health,Health,,,,,,,
157223,Research and Development,Research and Development (R&D),,,,,,,
157225,Taxation and Finance,Taxation and Finance,,,,,,,
157226,Justice and Law Enforcement,Justice et application des lois,,,,,,,
157227,Pensions,Pensions,,,,,,,
157295,Government Procurement,Government Procurement,,,,,,,
157470,Environment,Environment,,,,,,,
157529,Environment,Environment,,,,,,,
157530,Environment,Environment,,,,,,,
157708,Health,Health,,,,,,,
158676,Industry,Industry,,,,,,,
158679,Other,Manufacturing,,,,,,,
158682,Science and Technology,Science and Technology,,,,,,,
158685,Consumer Issues,Consumer Issues,,,,,,,
158690,Environment,Environment,,,,,,,
159352,Health,Health,,,,,,,
159355,Industry,Industry,,,,,,,
159356,Other,Manufacturing,,,,,,,
160738,Regional Development,Regional Development,,,,,,,
160739,Energy,Energy,,,,,,,
160740,Environment,Environment,,,,,,,
160741,Science and Technology,Science and Technology,,,,,,,
160917,Research and Development,Research and Development (R&D),,,,,,,
160918,International Relations,International Relations,,,,,,,
160919,Education,Education,,,,,,,
161265,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
161266,Research and Development,Research and Development (R&D),,,,,,,
161311,Sports,Sports,,,,,,,
161745,Employment and Training,Employment and Training,,,,,,,
161747,Labour,Labour,,,,,,,
161748,Environment,Environment,,,,,,,
161749,Other,Issues affecting the broadcasting industry,,,,,,,
161750,Other,aviation weather services,,,,,,,
161751,Other,Oil Sands,,,,,,,
161752,International Trade,International Trade,,,,,,,
161753,Infrastructure,Infrastructure,,,,,,,
161754,Energy,Energy,,,,,,,
161756,Environment,Environment,,,,,,,
161760,Other,International trade with reference to supply management,,,,,,,
161761,Agriculture,Agriculture,,,,,,,
161765,Other,International Trade negotiations, with reference to supply management,,,,,,
161767,Agriculture,Agriculture,,,,,,,
161768,Infrastructure,Infrastructure,,,,,,,
161769,Regional Development,Regional Development,,,,,,,
161770,Sports,Sports,,,,,,,
162450,Regional Development,Regional Development,,,,,,,
162459,Regional Development,Regional Development,,,,,,,
162461,Consumer Issues,Consumer Issues,,,,,,,
162605,Consumer Issues,Consumer Issues,,,,,,,
162632,Consumer Issues,Consumer Issues,,,,,,,
162672,Consumer Issues,Consumer Issues,,,,,,,
162674,Other,Research /Rx&D,,,,,,,
162727,Other,Investment Canada Act,,,,,,,
162728,Health,Health,,,,,,,
162729,Other,Investment Canada Act,,,,,,,
162836,Other,Long Term Space Plan,,,,,,,
162969,Science and Technology,Science and Technology,,,,,,,
162970,Industry,Industry,,,,,,,
163084,Telecommunications,Telecommunications,,,,,,,
163086,Environment,Environment,,,,,,,
163090,Environment,Environment,,,,,,,
163172,International Trade,International Trade,,,,,,,
163246,Agriculture,Agriculture,,,,,,,
163264,International Trade,International Trade,,,,,,,
163265,Health,Health,,,,,,,
163266,Other,Canada-U.S. Border,,,,,,,
163687,Other,Border Contingency Planning,,,,,,,
163691,Other,Border preclearance,,,,,,,
163694,Other,Border Staffing,,,,,,,
163695,Other,Nexus program,,,,,,,
163899,Other,Canada-U.S. Border,,,,,,,
165326,Other,Border Contingency Planning,,,,,,,
165341,Other,Border preclearance,,,,,,,
165346,Other,Border Staffing,,,,,,,
165349,Other,Nexus program,,,,,,,
165350,Other,Buy American provisions,,,,,,,
165361,Other,Product Recalls and Traceability,,,,,,,
165362,Employment and Training,Employment and Training,,,,,,,
165364,Other,Attempted to arrange meeting re: Bill C-27,,,,,,,
165365,Telecommunications,Telecommunications,,,,,,,
165405,Telecommunications,Telecommunications,,,,,,,
165406,Other,Ethics committe,,,,,,,
165407,Defence,Defence,,,,,,,
165424,Other,Labelling,,,,,,,
165428,Other,Human Rights,,,,,,,
165429,Mining,Mining,,,,,,,
165430,Regional Development,Regional Development,,,,,,,
165445,Education,Education,,,,,,,
165447,Employment and Training,Employment and Training,,,,,,,
165453,Science and Technology,Science and Technology,,,,,,,
165454,Education,Education,,,,,,,
165455,Employment and Training,Employment and Training,,,,,,,
165530,Science and Technology,Science and Technology,,,,,,,
165531,Arts and Culture,Arts and Culture,,,,,,,
165532,Health,Health,,,,,,,
165550,Other,Discuss CYBF activities in Atlantic Canada and possibility for joint initiative with ACOA,,,,,,,
165551,Other,Provide update of CYBF activities and discuss 2010-12 initiatives,,,,,,,
165552,Other,Provide update of CYBF activities and discuss 2010-12 initiatives,,,,,,,
165556,Other,Discuss CYBF activities in Atlantic Canada and possibility for joint initiative with ACOA,,,,,,,
165558,Other,Call - meeting request,,,,,,,
165573,Environment,Environment,,,,,,,
165585,Industry,Industry,,,,,,,
165587,International Trade,International Trade,,,,,,,
165588,Mining,Mining,,,,,,,
165590,Industry,Industry,,,,,,,
165591,Mining,Mining,,,,,,,
165592,Industry,Industry,,,,,,,
165594,International Trade,International Trade,,,,,,,
165595,Other,Space,,,,,,,
165596,International Trade,International Trade,,,,,,,
165597,Transportation,Transportation,,,,,,,
165599,Industry,Industry,,,,,,,
165601,Other,Long Term Space Plan,,,,,,,
165668,Tourism,Tourism,,,,,,,
165686,Mining,Mining,,,,,,,
165687,Other,Operations,,,,,,,
165688,Industry,Industry,,,,,,,
165689,Science and Technology,Science and Technology,,,,,,,
165690,Tourism,Tourism,,,,,,,
165692,Industry,Industry,,,,,,,
165693,Science and Technology,Science and Technology,,,,,,,
165694,Tourism,Tourism,,,,,,,
165695,Fisheries,Fisheries,,,,,,,
165696,Other,Fisheries and Aqualculture,,,,,,,
157435,Industry,Industry,,,,,,,
157436,Industry,Industry,,,,,,,
157437,Other,Extended Ku,,,,,,,
157438,Other,Extended Ku,,,,,,,
158071,Other,Extended Ku,,,,,,,
158116,Health,Health,,,,,,,
158896,Energy,Energy,,,,,,,
158900,Other,Foreign Investment,,,,,,,
160168,Broadcasting,Broadcasting,,,,,,,
161654,Broadcasting,Broadcasting,,,,,,,
162225,Industry,Industry,,,,,,,
162227,Industry,Industry,,,,,,,
162230,Consumer Issues,Consumer Issues,,,,,,,
162231,Financial Institutions,Financial Institutions,,,,,,,
162234,International Trade,International Trade,,,,,,,
162248,International Trade,International Trade,,,,,,,
162470,Industry,Industry,,,,,,,
162472,Intellectual Property,Intellectual Property,,,,,,,
162481,Taxation and Finance,Taxation and Finance,,,,,,,
162483,Transportation,Transportation,,,,,,,
162484,Industry,Industry,,,,,,,
162497,Intellectual Property,Intellectual Property,,,,,,,
162887,Energy,Energy,,,,,,,
164987,Environment,Environment,,,,,,,
166047,Fisheries,Fisheries,,,,,,,
166060,Energy,Energy,,,,,,,
166061,Environment,Environment,,,,,,,
166062,Environment,Environment,,,,,,,
166069,Mining,Mining,,,,,,,
166167,Environment,Environment,,,,,,,
166308,Fisheries,Fisheries,,,,,,,
166310,Mining,Mining,,,,,,,
166311,Energy,Energy,,,,,,,
166315,Environment,Environment,,,,,,,
166365,Energy,Energy,,,,,,,
166368,Environment,Environment,,,,,,,
166370,Energy,Energy,,,,,,,
166373,Environment,Environment,,,,,,,
166379,Energy,Energy,,,,,,,
166864,Environment,Environment,,,,,,,
166886,Agriculture,Agriculture,,,,,,,
167188,International Trade,International Trade,,,,,,,
167190,Internal Trade,Internal Trade,,,,,,,
167206,Taxation and Finance,Taxation and Finance,,,,,,,
167208,Other,Housing,,,,,,,
167209,Taxation and Finance,Taxation and Finance,,,,,,,
167211,Arts and Culture,Arts and Culture,,,,,,,
167212,Industry,Industry,,,,,,,
167224,Economic Development,Economic Development,,,,,,,
167225,Other,INTERNATIONAL DEVELOPMENT,,,,,,,
167226,Financial Institutions,Financial Institutions,,,,,,,
167232,Government Procurement,Government Procurement,,,,,,,
167506,Industry,Industry,,,,,,,
167510,Intellectual Property,Intellectual Property,,,,,,,
167514,Industry,Industry,,,,,,,
167519,International Relations,International Relations,,,,,,,
167664,International Trade,International Trade,,,,,,,
167884,Taxation and Finance,Taxation and Finance,,,,,,,
167889,Industry,Industry,,,,,,,
167891,International Relations,International Relations,,,,,,,
168804,International Trade,International Trade,,,,,,,
168805,Taxation and Finance,Taxation and Finance,,,,,,,
168810,Industry,Industry,,,,,,,
168821,International Relations,International Relations,,,,,,,
169534,International Trade,International Trade,,,,,,,
169535,Taxation and Finance,Taxation and Finance,,,,,,,
169536,Education,Education,,,,,,,
169545,Employment and Training,Employment and Training,,,,,,,
169546,Small Business,Small Business,,,,,,,
169575,Other,Study on future Bio-products/bio-energy opportunities in the forest sector,,,,,,,
169830,International Relations,International Relations,,,,,,,
169831,International Trade,International Trade,,,,,,,
169836,International Relations,International Relations,,,,,,,
169837,International Trade,International Trade,,,,,,,
168503,International Relations,International Relations,,,,,,,
168543,International Trade,International Trade,,,,,,,
168544,Other,25th Anniversary,,,,,,,
168547,Industry,Industry,,,,,,,
168551,International Relations,International Relations,,,,,,,
168560,International Trade,International Trade,,,,,,,
168561,Infrastructure,Infrastructure,,,,,,,
168582,Science and Technology,Science and Technology,,,,,,,
168584,Arts and Culture,Arts and Culture,,,,,,,
168588,Small Business,Small Business,,,,,,,
168611,Consumer Issues,Consumer Issues,,,,,,,
168628,Intellectual Property,Intellectual Property,,,,,,,
168631,Employment and Training,Employment and Training,,,,,,,
168637,Environment,Environment,,,,,,,
168656,Industry,Industry,,,,,,,
168681,Science and Technology,Science and Technology,,,,,,,
168689,Energy,Energy,,,,,,,
168694,Environment,Environment,,,,,,,
168696,Government Procurement,Government Procurement,,,,,,,
168700,Industry,Industry,,,,,,,
168701,Mining,Mining,,,,,,,
168703,Regional Development,Regional Development,,,,,,,
168706,Industry,Industry,,,,,,,
168707,Industry,Industry,,,,,,,
168709,Infrastructure,Infrastructure,,,,,,,
168719,Science and Technology,Science and Technology,,,,,,,
168722,Energy,Energy,,,,,,,
168725,Environment,Environment,,,,,,,
168728,Industry,Industry,,,,,,,
168731,International Relations,International Relations,,,,,,,
168734,Employment and Training,Employment and Training,,,,,,,
168739,International Relations,International Relations,,,,,,,
168743,Labour,Labour,,,,,,,
168745,Taxation and Finance,Taxation and Finance,,,,,,,
168748,Government Procurement,Government Procurement,,,,,,,
168749,Small Business,Small Business,,,,,,,
168760,Agriculture,Agriculture,,,,,,,
168761,Economic Development,Economic Development,,,,,,,
168765,Taxation and Finance,Taxation and Finance,,,,,,,
168769,Taxation and Finance,Taxation and Finance,,,,,,,
168770,Agriculture,Agriculture,,,,,,,
168794,Consumer Issues,Consumer Issues,,,,,,,
168800,Health,Health,,,,,,,
168807,Health,Health,,,,,,,
168811,Agriculture,Agriculture,,,,,,,
168812,Health,Health,,,,,,,
168818,International Trade,International Trade,,,,,,,
168820,Financial Institutions,Financial Institutions,,,,,,,
168826,Other,Market & Economic Issues,,,,,,,
156950,Other,General Business Update,,,,,,,
156952,Defence,Defence,,,,,,,
157087,Government Procurement,Government Procurement,,,,,,,
157589,Industry,Industry,,,,,,,
157590,Defence,Defence,,,,,,,
157593,Government Procurement,Government Procurement,,,,,,,
157600,Industry,Industry,,,,,,,
157772,Defence,Defence,,,,,,,
157775,Government Procurement,Government Procurement,,,,,,,
157777,Industry,Industry,,,,,,,
158248,Official Languages,Official Languages,,,,,,,
158249,Official Languages,Official Languages,,,,,,,
158250,Official Languages,Official Languages,,,,,,,
158551,International Relations,International Relations,,,,,,,
158552,Labour,Labour,,,,,,,
158555,Transportation,Transportation,,,,,,,
158556,Infrastructure,Infrastructure,,,,,,,
158558,Transportation,Transportation,,,,,,,
159007,Environment,Environment,,,,,,,
159008,Environment,Environment,,,,,,,
159664,Industry,Industry,,,,,,,
159670,Science and Technology,Science and Technology,,,,,,,
159675,Arts and Culture,Arts et culture,,,,,,,
159682,Arts and Culture,Arts et culture,,,,,,,
159694,Arts and Culture,Arts et culture,,,,,,,
159698,Arts and Culture,Arts et culture,,,,,,,
160048,Arts and Culture,Arts et culture,,,,,,,
160052,Health,Health,,,,,,,
160053,Energy,Energy,,,,,,,
160057,Environment,Environment,,,,,,,
160069,Other,INTERNATIONAL DEVELOPMENT,,,,,,,
160160,Taxation and Finance,Taxation and Finance,,,,,,,
160161,Taxation and Finance,Taxation and Finance,,,,,,,
160370,Taxation and Finance,Taxation and Finance,,,,,,,
160394,Taxation and Finance,Taxation and Finance,,,,,,,
160481,Energy,Energy,,,,,,,
160482,Industry,Industry,,,,,,,
160483,International Relations,International Relations,,,,,,,
160484,International Trade,International Trade,,,,,,,
161746,Research and Development,Research and Development (R&D),,,,,,,
161755,Energy,Energy,,,,,,,
161757,Industry,Industry,,,,,,,
161758,International Relations,International Relations,,,,,,,
161759,International Trade,International Trade,,,,,,,
161763,Research and Development,Research and Development (R&D),,,,,,,
161764,Other,International Development,,,,,,,
161766,Taxation and Finance,Taxation and Finance,,,,,,,
161772,Energy,Energy,,,,,,,
163802,Environment,Environment,,,,,,,
163805,Energy,Energy,,,,,,,
163806,Environment,Environment,,,,,,,
164000,Energy,Energy,,,,,,,
164062,Environment,Environment,,,,,,,
164064,Other,Mackenzie Gas Pipeline,,,,,,,
164066,Other,Mackenzie Gas Pipeline,,,,,,,
164188,Labour,Labour,,,,,,,
164192,Other,Corporate Announcements,,,,,,,
164193,Other,Operations,,,,,,,
164269,Environment,Environnement,,,,,,,
164291,Other,INTERNATIONAL DEVELOPMENT,,,,,,,
164360,Agriculture,Agriculture,,,,,,,
164361,Other,Mackenzie Gas Project,,,,,,,
164464,Energy,Energy,,,,,,,
164465,Other,Mackenzie Gas Project,,,,,,,
164484,Health,Health,,,,,,,
164485,Energy,Energy,,,,,,,
164504,Other,Mackenzie Gas Project,,,,,,,
164607,Defence,Défense,,,,,,,
165004,Environment,Environnement,,,,,,,
165061,Infrastructure,Infrastructure,,,,,,,
165066,Science and Technology,Science and Technology,,,,,,,
165085,Financial Institutions,Financial Institutions,,,,,,,
165206,Health,Health,,,,,,,
165244,Environment,Environment,,,,,,,
165245,Other,Boreal forests,,,,,,,
165246,Other,Land use planning,,,,,,,
165366,Other,Finance,,,,,,,
165384,Industry,Industry,,,,,,,
165697,Transportation,Transportation,,,,,,,
165698,Health,Health,,,,,,,
165699,Health,Health,,,,,,,
165705,Industry,Industry,,,,,,,
165706,Intellectual Property,Intellectual Property,,,,,,,
165707,Other,Status of their application under the Clean Energy Fund,,,,,,,
165710,Infrastructure,Infrastructure,,,,,,,
165711,Energy,Energy,,,,,,,
165712,Other,Mackenzie Valley Pipeline,,,,,,,
165714,Other,Mackenzie Valley Pipeline,,,,,,,
165715,Other,Mackenzie Valley Pipeline,,,,,,,
165733,Infrastructure,Infrastructure,,,,,,,
165748,Transportation,Transportation,,,,,,,
165751,Education,Education,,,,,,,
165753,Industry,Industry,,,,,,,
165755,Infrastructure,Infrastructure,,,,,,,
165758,Energy,Energy,,,,,,,
165759,Other,Corporate and Social Responsibility & Human Rights,,,,,,,
165760,Other,Canadian Environmental Protection Act as it applies to substances produced by or used by the mineral industry NPRI,,,,,,,
165864,Other,Climate Change in relation to providing input regarding federal strategies/processes to address greenhouse gas emissions,,,,,,,
165866,International Trade,International Trade,,,,,,,
165869,Other,Dairy Products Standards,,,,,,,
165898,Other,LABELLING,,,,,,,
165899,Agriculture,Agriculture,,,,,,,
165910,Other,Ongoing discussions in the WTO agricultural negotiations and, in particular, Canada's submission of any revisions to technical data submitted in July 2008.,,,,,
165911,Other,Update on the WTO negotiations as they pertained to the development of market access templates and the upcoming WTO Ministerial in December 2009.,,,,,,,
165951,Other,NGO's role in lead up to G8/G20,,,,,,,
165952,Other,Discussed how the NGO community can work with the Government of Canada in the lead up to the G8/G20 meetings in June 2010.,,,,,,,
165953,Consumer Issues,Consumer Issues,,,,,,,
165960,Other,Issues affecting broadcasting and distribution industries,,,,,,,
165961,Environment,Environment,,,,,,,
165962,Industry,Industry,,,,,,,
165963,Mining,Mining,,,,,,,
165964,Science and Technology,Science and Technology,,,,,,,
165965,Environment,Environment,,,,,,,
165968,Industry,Industry,,,,,,,
165990,Mining,Mining,,,,,,,
165996,Science and Technology,Science and Technology,,,,,,,
166048,Health,Health,,,,,,,
166051,Science and Technology,Science and Technology,,,,,,,
166057,Arts and Culture,Arts and Culture,,,,,,,
166070,Other,Prime Time in Ottawa conference,,,,,,,
166153,Arts and Culture,Arts and Culture,,,,,,,
166184,Other,Prime Time in Ottawa conference,,,,,,,
166185,Health,Health,,,,,,,
166188,Environment,Environment,,,,,,,
166209,Other,foreign qualifications recognition,,,,,,,
166210,Education,Education,,,,,,,
166211,Other,Regional issues,,,,,,,
166213,Agriculture,Agriculture,,,,,,,
166216,Other,Finance,,,,,,,
166217,Intellectual Property,Intellectual Property,,,,,,,
166221,Health,Health,,,,,,,
166222,Health,Health,,,,,,,
166225,Other,Telephone Call re: Convocation,,,,,,,
166226,Transportation,Transportation,,,,,,,
166227,International Trade,International Trade,,,,,,,
166265,Industry,Industry,,,,,,,
166266,International Trade,International Trade,,,,,,,
166271,Industry,Industry,,,,,,,
166290,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
166295,Environment,Environment,,,,,,,
166304,Mining,Mining,,,,,,,
166305,Industry,Industry,,,,,,,
166309,Financial Institutions,Financial Institutions,,,,,,,
166324,Energy,Energy,,,,,,,
166372,Environment,Environment,,,,,,,
166376,Industry,Industry,,,,,,,
166378,Energy,Energy,,,,,,,
166380,Environment,Environment,,,,,,,
166385,Industry,Industry,,,,,,,
166387,Taxation and Finance,Taxation and Finance,,,,,,,
166388,Other,Briefing on the Canadian Space Program,,,,,,,
166389,Environment,Environment,,,,,,,
166390,Mining,Mining,,,,,,,
166404,Financial Institutions,Financial Institutions,,,,,,,
166426,Health,Health,,,,,,,
166428,Health,Health,,,,,,,
166429,Transportation,Transportation,,,,,,,
166504,Transportation,Transportation,,,,,,,
166505,Government Procurement,Government Procurement,,,,,,,
157003,Infrastructure,Infrastructure,,,,,,,
157010,Taxation and Finance,Taxation and Finance,,,,,,,
157014,Taxation and Finance,Taxation and Finance,,,,,,,
157017,Energy,Energy,,,,,,,
158168,Environment,Environment,,,,,,,
158263,Other,Innovation,,,,,,,
158485,Education,Education,,,,,,,
158487,Economic Development,Economic Development,,,,,,,
158489,Agriculture,Agriculture,,,,,,,
158490,Telecommunications,Telecommunications,,,,,,,
158493,Taxation and Finance,Taxation and Finance,,,,,,,
158495,Telecommunications,Telecommunications,,,,,,,
158497,Telecommunications,Telecommunications,,,,,,,
158498,Constitutional Issues,Constitutional Issues,,,,,,,
158499,Labour,Labour,,,,,,,
158502,Energy,Energy,,,,,,,
159033,Other,Fisheries Act,,,,,,,
159050,Environment,Environment,,,,,,,
159052,Other,Innovation,,,,,,,
159053,Energy,Energy,,,,,,,
159055,Environment,Environment,,,,,,,
159059,Infrastructure,Infrastructure,,,,,,,
159061,Broadcasting,Broadcasting,,,,,,,
159431,Health,Health,,,,,,,
159434,Taxation and Finance,Taxation and Finance,,,,,,,
159435,Health,Health,,,,,,,
159436,Intellectual Property,Intellectual Property,,,,,,,
159438,International Relations,International Relations,,,,,,,
159439,Transportation,Transportation,,,,,,,
159440,Industry,Industry,,,,,,,
159441,Science and Technology,Science and Technology,,,,,,,
159534,Other,BIOTECHNOLOGY,,,,,,,
159535,Health,Health,,,,,,,
159545,Transportation,Transportation,,,,,,,
159546,Energy,Energy,,,,,,,
159547,Energy,Energy,,,,,,,
159548,Environment,Environment,,,,,,,
159549,Agriculture,Agriculture,,,,,,,
159550,Energy,Energy,,,,,,,
159785,Environment,Environment,,,,,,,
160314,Transportation,Transportation,,,,,,,
160316,Agriculture,Agriculture,,,,,,,
160319,Economic Development,Développement économique,,,,,,,
161773,Economic Development,Développement économique,,,,,,,
161774,Privacy and Access to Information,Privacy and Access to Information,,,,,,,
161778,Health,Health,,,,,,,
161779,Agriculture,Agriculture,,,,,,,
162110,Agriculture,Agriculture,,,,,,,
162111,Agriculture,Agriculture,,,,,,,
163608,Agriculture,Agriculture,,,,,,,
163623,Agriculture,Agriculture,,,,,,,
163970,Agriculture,Agriculture,,,,,,,
164052,Telecommunications,Telecommunications,,,,,,,
164061,Environment,Environment,,,,,,,
164063,Energy,Energy,,,,,,,
164272,Industry,Industry,,,,,,,
164273,Agriculture,Agriculture,,,,,,,
164274,Agriculture,Agriculture,,,,,,,
164944,Science and Technology,Science and Technology,,,,,,,
165151,Agriculture,Agriculture,,,,,,,
165794,Agriculture,Agriculture,,,,,,,
165795,Intellectual Property,Intellectual Property,,,,,,,
166054,Telecommunications,Telecommunications,,,,,,,
166059,Financial Institutions,Financial Institutions,,,,,,,
166113,Defence,Defence,,,,,,,
166544,Health,Health,,,,,,,
166547,Intellectual Property,Intellectual Property,,,,,,,
166626,Health,Health,,,,,,,
166654,Other,C-51, reintroduction of amendments to the Food and Drugs Act,,,,,,
167872,Other,C-6, Canada Consumer Product Safety Act and regulations,,,,,,
167874,Health,Health,,,,,,,
165086,Health,Health,,,,,,,
168830,Intellectual Property,Intellectual Property,,,,,,,
168833,Science and Technology,Science and Technology,,,,,,,
168841,Other,Foreign Trade Zones,,,,,,,
168848,Other,Government Procurement,,,,,,,
168851,Other,Government Procurement,,,,,,,
168853,Other,Government Procurement,,,,,,,
168863,Environment,Environment,,,,,,,
168868,Environment,Environment,,,,,,,
168874,Energy,Energy,,,,,,,
168881,Energy,Energy,,,,,,,
168916,Taxation and Finance,Taxation and Finance,,,,,,,
168921,Other,WTO and bilateral negotiations,,,,,,,
168925,Other,Buy American provisions,,,,,,,
168928,Defence,Defence,,,,,,,
168946,Government Procurement,Government Procurement,,,,,,,
168947,Health,Health,,,,,,,
168951,Other,Communications,,,,,,,
169010,Other,Post Secondary Education,,,,,,,
169044,Other,Ocean Sciences,,,,,,,
169065,Other,Funding for science research in Canada,,,,,,,
169066,Other,Ocean Sciences,,,,,,,
169088,Other,Funding for science research in Canada,,,,,,,
169132,International Trade,International Trade,,,,,,,
169133,International Trade,International Trade,,,,,,,
169134,Defence,Defence,,,,,,,
169135,Agriculture,Agriculture,,,,,,,
169137,Environment,Environment,,,,,,,
169138,Transportation,Transportation,,,,,,,
169139,Other,Corporate Governance matters, regarding general operating by-laws,,,,,,
169140,Agriculture,Agriculture,,,,,,,
169141,Consumer Issues,Consumer Issues,,,,,,,
169142,Agriculture,Agriculture,,,,,,,
169144,Industry,Industry,,,,,,,
169148,Transportation,Transportation,,,,,,,
169155,Other,Pipelines,,,,,,,
169156,Other,Safety,,,,,,,
169158,Other,Research,,,,,,,
169225,Other,Commercialization,,,,,,,
169226,Other,Research and innovation policy,,,,,,,
169228,Other,Innovation,,,,,,,
169238,Other,Commercialization,,,,,,,
169239,Other,infrastructure program,,,,,,,
169240,Other,Research and innovation policy,,,,,,,
169244,Immigration,Immigration,,,,,,,
169245,International Relations,International Relations,,,,,,,
169248,International Trade,International Trade,,,,,,,
169250,Other,International Academic and Student Mobility,,,,,,,
169251,Other,University Research,,,,,,,
169252,Other,Education and Higher Education,,,,,,,
169253,Other,Aboriginal Education,,,,,,,
169255,Other,International Academic and Student Mobility,,,,,,,
169256,Other,University Research,,,,,,,
169257,Other,Education and Higher Education,,,,,,,
169262,Other,Aboriginal Education,,,,,,,
169263,Other,International Academic and Student Mobility,,,,,,,
169265,Other,Aboriginal Education,,,,,,,
169266,Other,Aboriginal Education,,,,,,,
169273,Education,Education,,,,,,,
169274,Energy,Energy,,,,,,,
169275,Industry,Industry,,,,,,,
169276,Other,regulatory process for the implementation of the federal governments renewable fuels standard,,,,,,,
169593,Other,regulatory process for the implementation of the federal governments renewable fuels standard,,,,,,,
169595,Taxation and Finance,Taxation and Finance,,,,,,,
169612,Other,Artic Security,,,,,,,
169613,Other,Emergency Management and Public Safety,,,,,,,
169725,Telecommunications,Telecommunications,,,,,,,
169764,Other,Department Champions Program,,,,,,,
169843,Other,WTO Negotiations on Agriculture with respect to Canada's supply management system,,,,,,,
170335,Taxation and Finance,Taxation and Finance,,,,,,,
170337,Infrastructure,Infrastructure,,,,,,,
170406,Transportation,Transportation,,,,,,,
170409,Infrastructure,Infrastructure,,,,,,,
170411,Transportation,Transportation,,,,,,,
156999,Infrastructure,Infrastructure,,,,,,,
