COMLOG_ID,SUBJ_MATTER_OBJET,OTHER_SUBJ_MATTER_AUTRE_OBJET,,,,,,,
76497,Environment,Environment,,,,,,,
76498,Other,Vehicle Scrappage,,,,,,,
77039,Environment,Environment,,,,,,,
77079,Other,Go Solar,,,,,,,
77283,Environment,Environment,,,,,,,
77294,Environment,Environment,,,,,,,
77359,Transportation,Transportation,,,,,,,
77435,Environment,Environment,,,,,,,
77439,Other,Go Solar,,,,,,,
77441,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77442,Energy,Energy,,,,,,,
77478,International Trade,International Trade,,,,,,,
77493,Other,Air Force Projects,,,,,,,
77495,Environment,Environment,,,,,,,
77519,Other,Go Solar,,,,,,,
77521,Other,Car Heaven,,,,,,,
77522,Other,Car Heaven,,,,,,,
77523,International Trade,International Trade,,,,,,,
77524,Mining,Mining,,,,,,,
77525,Mining,Mining,,,,,,,
77532,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77534,Employment and Training,Employment and Training,,,,,,,
77638,Industry,Industry,,,,,,,
77815,International Trade,International Trade,,,,,,,
77791,Mining,Mining,,,,,,,
77792,Employment and Training,Employment and Training,,,,,,,
77795,Health,Health,,,,,,,
78314,Other,Lung Health Framework,,,,,,,
78316,Other,Federal Framework on Air Emissions,,,,,,,
78614,Agriculture,Agriculture,,,,,,,
78655,International Relations,International Relations,,,,,,,
78814,International Trade,International Trade,,,,,,,
78817,Agriculture,Agriculture,,,,,,,
78818,International Relations,International Relations,,,,,,,
78819,International Trade,International Trade,,,,,,,
78820,Other,Liberal Green Shift,,,,,,,
78821,Constitutional Issues,Constitutional Issues,,,,,,,
79714,Other,History of Parliament,,,,,,,
79614,Agriculture,Agriculture,,,,,,,
79635,Agriculture,Agriculture,,,,,,,
79654,Agriculture,Agriculture,,,,,,,
79715,Agriculture,Agriculture,,,,,,,
79716,Agriculture,Agriculture,,,,,,,
79717,Agriculture,Agriculture,,,,,,,
79718,International Trade,International Trade,,,,,,,
79734,Agriculture,Agriculture,,,,,,,
79754,Agriculture,Agriculture,,,,,,,
79794,Agriculture,Agriculture,,,,,,,
79834,International Trade,International Trade,,,,,,,
79894,Agriculture,Agriculture,,,,,,,
79895,Transportation,Transportation,,,,,,,
79914,Agriculture,Agriculture,,,,,,,
79915,Health,Health,,,,,,,
79916,Intellectual Property,Intellectual Property,,,,,,,
79917,Health,Health,,,,,,,
79934,Intellectual Property,Intellectual Property,,,,,,,
79975,Environment,Environment,,,,,,,
79976,Defence,Defence,,,,,,,
79998,Transportation,Transportation,,,,,,,
80034,Transportation,Transportation,,,,,,,
80054,Other,PRIVACY,,,,,,,
77015,Environment,Environment,,,,,,,
77034,Environment,Environment,,,,,,,
77046,Energy,Energy,,,,,,,
77052,Infrastructure,Infrastructure,,,,,,,
77054,Other,Natural Resources,,,,,,,
77078,Energy,Energy,,,,,,,
77081,Infrastructure,Infrastructure,,,,,,,
77159,Other,Natural Resources,,,,,,,
77160,Energy,Energy,,,,,,,
77166,Infrastructure,Infrastructure,,,,,,,
77167,Other,Natural Resources,,,,,,,
77168,Other,Meat Inspection Fee Review,,,,,,,
77169,Other,AAFC reduced funding under agreement for implementation of On-Farm Food Safety Program,,,,,,,
77173,Other,status and next steps of the Growing Forward initiative,,,,,,,
77174,Other,status of the deliberations by Federal/Provincial/Territorial Agriculture Ministers on the Agreement on Internal Trade as related to supply management,,,,,,,
77179,Other,WTO negotiations,,,,,,,
77180,Labour,Labour,,,,,,,
77182,Other,Border Services,,,,,,,
77185,Transportation,Transportation,,,,,,,
77219,Industry,Industry,,,,,,,
77220,Government Procurement,Government Procurement,,,,,,,
77363,Energy,Energy,,,,,,,
77375,Environment,Environment,,,,,,,
77377,International Trade,International Trade,,,,,,,
77385,Education,Education,,,,,,,
77394,Other,Social Finance, Non-Profit Corporation Law, Housing,,,,,
77397,Mining,Mining,,,,,,,
77484,Defence,Defence,,,,,,,
77488,Health,Health,,,,,,,
77594,Health,Health,,,,,,,
77767,Transportation,Transportation,,,,,,,
77771,Small Business,Small Business,,,,,,,
77774,Energy,Energy,,,,,,,
77778,Environment,Environment,,,,,,,
77857,Industry,Industry,,,,,,,
78114,Transportation,Transportation,,,,,,,
78115,Environment,Environment,,,,,,,
78116,Industry,Industry,,,,,,,
78174,Transportation,Transportation,,,,,,,
78195,Other,Human Resources,,,,,,,
78196,Transportation,Transportation,,,,,,,
78234,Other,International Air Policy,,,,,,,
78294,Consumer Issues,Consumer Issues,,,,,,,
78315,Health,Health,,,,,,,
78414,Intellectual Property,Intellectual Property,,,,,,,
78415,Science and Technology,Science and Technology,,,,,,,
78416,Fisheries,Fisheries,,,,,,,
78657,Science and Technology,Science and Technology,,,,,,,
78658,Industry,Industry,,,,,,,
78835,Science and Technology,Science and Technology,,,,,,,
78915,Health,Health,,,,,,,
78934,Other,Lung Health Framework,,,,,,,
79194,Energy,Energy,,,,,,,
79394,Infrastructure,Infrastructure,,,,,,,
79395,Other,Natural Resources,,,,,,,
79414,Financial Institutions,Financial Institutions,,,,,,,
79415,Agriculture,Agriculture,,,,,,,
79416,International Trade,International Trade,,,,,,,
79719,International Relations,International Relations,,,,,,,
79774,International Trade,International Trade,,,,,,,
79814,Other,History of Parliament,,,,,,,
79854,Constitutional Issues,Constitutional Issues,,,,,,,
79954,Other,Liberal Green Shift,,,,,,,
80074,Taxation and Finance,Taxation and Finance,,,,,,,
80094,Infrastructure,Infrastructure,,,,,,,
77075,Agriculture,Agriculture,,,,,,,
77077,International Trade,International Trade,,,,,,,
77314,Environment,Environment,,,,,,,
77334,Other,Exit program for tobacco farmers,,,,,,,
77366,Agriculture,Agriculture,,,,,,,
77370,International Trade,International Trade,,,,,,,
77380,Agriculture,Agriculture,,,,,,,
77382,International Trade,International Trade,,,,,,,
77387,Taxation and Finance,Taxation and Finance,,,,,,,
77388,Taxation and Finance,Taxation and Finance,,,,,,,
77404,Defence,Defence,,,,,,,
77462,Transportation,Transportation,,,,,,,
77480,Health,Health,,,,,,,
77482,Intellectual Property,Intellectual Property,,,,,,,
77483,Other,CWB Corporate Plan approval status,,,,,,,
77485,Employment and Training,Employment and Training,,,,,,,
77486,Science and Technology,Science and Technology,,,,,,,
77489,Employment and Training,Employment and Training,,,,,,,
77492,Infrastructure,Infrastructure,,,,,,,
77500,Other,Regulation,,,,,,,
77735,Other,Electricity and Gas Inspection Act,,,,,,,
77756,Industry,Industry,,,,,,,
77757,Financial Institutions,Financial Institutions,,,,,,,
77758,Industry,Industry,,,,,,,
77760,Labour,Labour,,,,,,,
77809,Energy,Energy,,,,,,,
77994,Taxation and Finance,Taxation and Finance,,,,,,,
77995,Industry,Industry,,,,,,,
78054,Infrastructure,Infrastructure,,,,,,,
78074,Other,Food processing competitiveness,,,,,,,
78254,Other,Food processing competitiveness,,,,,,,
78754,Energy,Energy,,,,,,,
78774,Other,Infrastructure,,,,,,,
78974,Other,Natural Resources,,,,,,,
78994,Energy,Energy,,,,,,,
79074,Industry,Industry,,,,,,,
79296,Industry,Industry,,,,,,,
79297,Industry,Industry,,,,,,,
79314,Energy,Energy,,,,,,,
79477,Agriculture,Agriculture,,,,,,,
79514,Other,Exit program for tobacco farmers,,,,,,,
79634,Energy,Energy,,,,,,,
79694,Other,CNSC/CNA Regulatory Advisory Committee,,,,,,,
79875,Agriculture,Agriculture,,,,,,,
79994,Other,Agriculture,,,,,,,
79995,Health,Health,,,,,,,
79996,Science and Technology,Science and Technology,,,,,,,
79997,Agriculture,Agriculture,,,,,,,
79999,Industry,Industry,,,,,,,
80097,Infrastructure,Infrastructure,,,,,,,
80114,Taxation and Finance,Taxation and Finance,,,,,,,
80134,Industry,Industry,,,,,,,
80155,Health,Health,,,,,,,
80156,Environment,Environment,,,,,,,
80157,Other,Foreign Affairs,,,,,,,
80174,Other,Border Management,,,,,,,
80194,Other,Border Management,,,,,,,
80195,Other,Border Management,,,,,,,
80196,Other,Border Management,,,,,,,
80197,Other,Border Management,,,,,,,
80214,Other,Border Management,,,,,,,
80215,Energy,Energy,,,,,,,
80216,Energy,Energy,,,,,,,
80217,Other,Infrastructure,,,,,,,
80218,Other,Framework for regulating air emissions,,,,,,,
80219,Energy,Energy,,,,,,,
80234,Environment,Environment,,,,,,,
76986,International Relations,International Relations,,,,,,,
77055,International Trade,International Trade,,,,,,,
77317,Agriculture,Agriculture,,,,,,,
77371,Other,Federal Framework on Air Emissions,,,,,,,
77455,Other,Expansion of Engineering School,,,,,,,
77456,Other,Oceans policy,,,,,,,
77468,Energy,Energy,,,,,,,
77469,Environment,Environment,,,,,,,
77474,Other,COASTING TRADE AND THE 25% VESSEL IMPORT DUTY,,,,,,,
77475,Other,Co-operative Development Initiative (CDI),,,,,,,
77476,Other,Co-operative Investment Plan (CIP),,,,,,,
77477,Regional Development,Regional Development,,,,,,,
77496,Regional Development,Regional Development,,,,,,,
77499,Arts and Culture,Arts and Culture,,,,,,,
77501,Intellectual Property,Intellectual Property,,,,,,,
77502,Arts and Culture,Arts and Culture,,,,,,,
77503,Intellectual Property,Intellectual Property,,,,,,,
77504,Arts and Culture,Arts and Culture,,,,,,,
77505,Intellectual Property,Intellectual Property,,,,,,,
77506,Health,Health,,,,,,,
77507,Intellectual Property,Intellectual Property,,,,,,,
77508,Infrastructure,Infrastructure,,,,,,,
77509,Science and Technology,Science and Technology,,,,,,,
77510,Other,Air navigation services in support of 2010 Olympics,,,,,,,
77512,Other,Air navigation services in support of 2010 Olympics,,,,,,,
77513,Consumer Issues,Consumer Issues,,,,,,,
77514,Energy,Energy,,,,,,,
77515,Environment,Environment,,,,,,,
77516,Other,Policies Related To Aviation Security,,,,,,,
77518,Consumer Issues,Consumer Issues,,,,,,,
77526,Financial Institutions,Financial Institutions,,,,,,,
77531,Other,Safey inspections,,,,,,,
77620,Other,Certifications,,,,,,,
77636,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77666,Employment and Training,Employment and Training,,,,,,,
77667,Mining,Mining,,,,,,,
77677,Industry,Industry,,,,,,,
77713,Energy,Energy,,,,,,,
77714,Other,Natural Resources,,,,,,,
77715,Infrastructure,Infrastructure,,,,,,,
77719,Energy,Energy,,,,,,,
77759,Other,Natural Resources,,,,,,,
77761,Infrastructure,Infrastructure,,,,,,,
77762,Energy,Energy,,,,,,,
77764,Other,Natural Resources,,,,,,,
77765,Other,Infrastructure,,,,,,,
77770,Energy,Energy,,,,,,,
77784,Other,Natural Resources,,,,,,,
77786,Other,Infrastructure,,,,,,,
77789,Energy,Energy,,,,,,,
77790,Infrastructure,Infrastructure,,,,,,,
77793,Other,Natural Resources,,,,,,,
77794,Environment,Environment,,,,,,,
77796,Energy,Energy,,,,,,,
77797,Infrastructure,Infrastructure,,,,,,,
77798,Energy,Energy,,,,,,,
77799,Health,Health,,,,,,,
77800,Employment and Training,Employment and Training,,,,,,,
77801,Energy,Energy,,,,,,,
77975,Environment,Environment,,,,,,,
78376,Industry,Industry,,,,,,,
78377,Other,Proposed second oil refinery in Saint John, NB,,,,,,
78475,Defence,Defence,,,,,,,
78537,Transportation,Transportation,,,,,,,
78594,Environment,Environment,,,,,,,
78595,International Trade,International Trade,,,,,,,
78637,Mining,Mining,,,,,,,
78654,Other,Electricity and Gas Inspection Act,,,,,,,
78656,Agriculture,Agriculture,,,,,,,
78674,Agriculture,Agriculture,,,,,,,
78675,Environment,Environment,,,,,,,
78676,Environment,Environment,,,,,,,
78914,Other,CNSC/CNA Regulatory Advisory Committee,,,,,,,
79094,Health,Health,,,,,,,
79275,Agriculture,Agriculture,,,,,,,
79294,Agriculture,Agriculture,,,,,,,
76994,Agriculture,Agriculture,,,,,,,
76995,Agriculture,Agriculture,,,,,,,
77035,Agriculture,Agriculture,,,,,,,
77036,Agriculture,Agriculture,,,,,,,
77154,Energy,Energy,,,,,,,
77170,Agriculture,Agriculture,,,,,,,
77172,Agriculture,Agriculture,,,,,,,
77183,Government Procurement,Government Procurement,,,,,,,
77184,Consumer Issues,Consumer Issues,,,,,,,
77186,Health,Health,,,,,,,
77188,International Trade,International Trade,,,,,,,
77196,Other,Research,,,,,,,
77199,Labour,Labour,,,,,,,
77201,Transportation,Transportation,,,,,,,
77203,Other,Innovation Project with Council of Canadian Academies,,,,,,,
77204,Other,SADI Program for CAE,,,,,,,
77212,Defence,Defence,,,,,,,
77360,Energy,Energy,,,,,,,
77383,Environment,Environment,,,,,,,
77389,Science and Technology,Science and Technology,,,,,,,
77434,International Trade,International Trade,,,,,,,
77458,Other,Natural Resources,,,,,,,
77459,Energy,Energy,,,,,,,
77460,Taxation and Finance,Taxation and Finance,,,,,,,
77464,Taxation and Finance,Taxation and Finance,,,,,,,
77465,Energy,Energy,,,,,,,
77490,Other,Natural Resources,,,,,,,
77498,Energy,Energy,,,,,,,
77533,Environment,Environment,,,,,,,
77595,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77619,Taxation and Finance,Taxation and Finance,,,,,,,
77635,Aboriginal Affairs,Aboriginal Affairs,,,,,,,
77637,Health,Health,,,,,,,
77639,Energy,Energy,,,,,,,
77640,Fisheries,Fisheries,,,,,,,
77641,Taxation and Finance,Taxation and Finance,,,,,,,
77642,Energy,Energy,,,,,,,
77643,Fisheries,Fisheries,,,,,,,
77644,Health,Health,,,,,,,
77645,Regional Development,Regional Development,,,,,,,
